ID,Month_Year,Year,Month,Year_continuous,PDSI,PHDI,PMDI,PZI
1,Jan-99,1999,January,1999,-1.88,-1.88,-1.28,1.27
2,Feb-99,1999,February,1999.083333,-2.16,-2.16,-2.1,-1.42
3,Mar-99,1999,March,1999.166667,-2.42,-2.42,-2.42,-1.43
4,Apr-99,1999,April,1999.25,-2.24,-2.24,-2.24,-0.21
5,May-99,1999,May,1999.333333,-2.21,-2.21,-2.21,-0.6
6,Jun-99,1999,June,1999.416667,-1.56,-1.56,-0.94,1.25
7,Jul-99,1999,July,1999.5,-1.62,-1.62,-1.23,-0.66
8,Aug-99,1999,August,1999.583333,-1.92,-1.92,-1.92,-1.41
9,Sep-99,1999,September,1999.666667,0.59,-1.14,-0.24,1.77
10,Oct-99,1999,October,1999.75,0.99,-0.56,0.97,1.37
11,Nov-99,1999,November,1999.833333,0.59,-0.8,0.29,-0.89
12,Dec-99,1999,December,1999.916667,0.56,-0.68,0.42,0.11
13,Jan-00,2000,January,2000,1.01,1.01,1.01,1.53
14,Feb-00,2000,February,2000.083333,-0.68,-0.68,-0.68,-2.03
15,Mar-00,2000,March,2000.166667,-0.67,-0.67,-0.67,-0.18
16,Apr-00,2000,April,2000.25,-0.74,-0.74,-0.74,-0.43
17,May-00,2000,May,2000.333333,-1.7,-1.7,-1.7,-3.11
18,Jun-00,2000,June,2000.416667,-1.94,-1.94,-1.94,-1.24
19,Jul-00,2000,July,2000.5,-2.15,-2.15,-2.15,-1.23
20,Aug-00,2000,August,2000.583333,-2.55,-2.55,-2.55,-1.86
21,Sep-00,2000,September,2000.666667,-1.68,-1.68,-0.85,1.81
22,Oct-00,2000,October,2000.75,-2.24,-2.24,-2.24,-2.2
23,Nov-00,2000,November,2000.833333,-1.72,-1.72,-1.27,0.87
24,Dec-00,2000,December,2000.916667,-1.51,-1.51,-0.96,0.11
25,1-Jan,2001,January,2001,-1.79,-1.79,-1.73,-1.3
26,1-Feb,2001,February,2001.083333,-2.15,-2.15,-2.15,-1.63
27,1-Mar,2001,March,2001.166667,-1.26,-1.26,-0.3,1.99
28,1-Apr,2001,April,2001.25,-1.89,-1.89,-1.88,-2.28
29,1-May,2001,May,2001.333333,-2.46,-2.46,-2.46,-2.31
30,1-Jun,2001,June,2001.416667,-2.44,-2.44,-2.44,-0.69
31,1-Jul,2001,July,2001.5,-2.04,-2.04,-1.79,0.44
32,1-Aug,2001,August,2001.583333,-2.54,-2.54,-2.54,-2.11
33,1-Sep,2001,September,2001.666667,-2.52,-2.52,-2.52,-0.72
34,1-Oct,2001,October,2001.75,-3.01,-3.01,-3.01,-2.27
35,1-Nov,2001,November,2001.833333,-3.68,-3.68,-3.68,-2.93
36,1-Dec,2001,December,2001.916667,-4.52,-4.52,-4.52,-3.65
37,2-Jan,2002,January,2002,-4.61,-4.61,-4.61,-1.67
38,2-Feb,2002,February,2002.083333,-4.77,-4.77,-4.77,-1.92
39,2-Mar,2002,March,2002.166667,-4.78,-4.78,-4.78,-1.48
40,2-Apr,2002,April,2002.25,-5.17,-5.17,-5.17,-2.65
41,2-May,2002,May,2002.333333,-5.14,-5.14,-5.14,-1.52
42,2-Jun,2002,June,2002.416667,-4.6,-4.6,-4.53,0.04
43,2-Jul,2002,July,2002.5,-4.91,-4.91,-4.91,-2.36
44,2-Aug,2002,August,2002.583333,0.12,-4.28,-4.09,0.36
45,2-Sep,2002,September,2002.666667,0.06,-3.9,-3.71,-0.16
46,2-Oct,2002,October,2002.75,0.72,-2.82,-1.83,2.01
47,2-Nov,2002,November,2002.833333,1.74,-1.44,0.76,3.27
48,2-Dec,2002,December,2002.916667,2.09,-0.77,1.87,1.58
49,3-Jan,2003,January,2003,1.3,-1.26,0.65,-1.71
50,3-Feb,2003,February,2003.083333,1.11,-1.18,0.57,-0.17
51,3-Mar,2003,March,2003.166667,1.64,1.64,1.64,1.94
52,3-Apr,2003,April,2003.25,2.18,2.18,2.18,2.11
53,3-May,2003,May,2003.333333,2.5,2.5,2.5,1.66
54,3-Jun,2003,June,2003.416666,2.81,2.81,2.81,1.68
55,3-Jul,2003,July,2003.5,3.29,3.29,3.29,2.33
56,3-Aug,2003,August,2003.583333,2.79,2.79,2.54,-0.49
57,3-Sep,2003,September,2003.666666,2.45,2.45,2.07,-0.17
58,3-Oct,2003,October,2003.75,2.57,2.57,2.57,1.11
59,3-Nov,2003,November,2003.833333,-0.57,1.73,0.94,-1.71
60,3-Dec,2003,December,2003.916666,-0.71,1.36,0.29,-0.59
61,4-Jan,2004,January,2004,-0.96,0.89,-0.55,-0.97
62,4-Feb,2004,February,2004.083333,-0.31,1.35,0.56,1.66
63,4-Mar,2004,March,2004.166666,-1.31,-1.31,-1.31,-3.12
64,4-Apr,2004,April,2004.25,-1.46,-1.46,-1.46,-0.86
65,4-May,2004,May,2004.333333,-1.8,-1.8,-1.8,-1.46
66,4-Jun,2004,June,2004.416666,-1.57,-1.57,-1.43,0.14
67,4-Jul,2004,July,2004.5,-1.96,-1.96,-1.96,-1.66
68,4-Aug,2004,August,2004.583333,-1.43,-1.43,-0.91,0.98
69,4-Sep,2004,September,2004.666666,-1.01,-1.01,-0.05,0.84
70,4-Oct,2004,October,2004.75,-1.22,-1.22,-0.67,-0.96
71,4-Nov,2004,November,2004.833333,-1.46,-1.46,-1.28,-1.07
72,4-Dec,2004,December,2004.916666,-1.73,-1.73,-1.73,-1.26
73,5-Jan,2005,January,2005,-2.04,-2.04,-2.04,-1.47
74,5-Feb,2005,February,2005.083333,0.03,-1.8,-1.69,0.09
75,5-Mar,2005,March,2005.166666,0.54,-1.11,-0.23,1.52
76,5-Apr,2005,April,2005.25,0.24,-1.23,-0.65,-0.72
77,5-May,2005,May,2005.333333,0.72,-0.6,0.65,1.51
78,5-Jun,2005,June,2005.416666,1.32,1.32,1.32,2.03
79,5-Jul,2005,July,2005.5,-0.19,1,0.59,-0.56
80,5-Aug,2005,August,2005.583333,-0.15,0.91,0.46,0.05
81,5-Sep,2005,September,2005.666666,-1.21,-1.21,-1.21,-3.22
82,5-Oct,2005,October,2005.75,0.49,-0.59,0.41,1.47
83,5-Nov,2005,November,2005.833333,0.78,0.78,0.78,1.01
84,5-Dec,2005,December,2005.916666,0.98,0.98,0.98,0.87
85,6-Jan,2006,January,2006,-0.17,-0.17,0.71,-0.52
86,6-Feb,2006,February,2006.083333,-0.09,-0.09,0.7,0.2
87,6-Mar,2006,March,2006.166666,-0.93,-0.93,-0.93,-2.54
88,6-Apr,2006,April,2006.25,-1.09,-1.09,-1.09,-0.77
89,6-May,2006,May,2006.333333,-1.42,-1.42,-1.42,-1.35
90,6-Jun,2006,June,2006.416666,-0.97,-0.97,-0.38,0.93
91,6-Jul,2006,July,2006.5,-1.8,-1.8,-1.8,-2.81
92,6-Aug,2006,August,2006.583333,-2.13,-2.13,-2.13,-1.55
93,6-Sep,2006,September,2006.666666,-2.06,-2.06,-2.06,-0.44
94,6-Oct,2006,October,2006.75,-2.02,-2.02,-2.02,-0.51
95,6-Nov,2006,November,2006.833333,-1.17,-1.17,-0.21,1.93
96,6-Dec,2006,December,2006.916666,-1.07,-1.07,-0.14,-0.08
97,7-Jan,2007,January,2007,-0.98,-0.98,-0.06,-0.05
98,7-Feb,2007,February,2007.083333,-1.17,-1.17,-0.58,-0.87
99,7-Mar,2007,March,2007.166666,-1.88,-1.88,-1.88,-2.5
100,7-Apr,2007,April,2007.25,-2.08,-2.08,-2.08,-1.16
101,7-May,2007,May,2007.333333,-2.65,-2.65,-2.65,-2.38
102,7-Jun,2007,June,2007.416666,-2.56,-2.56,-2.56,-0.54
103,7-Jul,2007,July,2007.5,-2.68,-2.68,-2.68,-1.15
104,7-Aug,2007,August,2007.583333,-3.16,-3.16,-3.16,-2.27
105,7-Sep,2007,September,2007.666666,-3.15,-3.15,-3.15,-0.94
106,7-Oct,2007,October,2007.75,-3.02,-3.02,-3.02,-0.6
