ID,Month_Year,Year,Month,Year_continuous,PDSI
1,Jan-97,1997,January,1997,0.2
2,Feb-97,1997,February,1997.083333,0.46
3,Mar-97,1997,March,1997.166667,-0.42
4,Apr-97,1997,April,1997.25,0.49
5,May-97,1997,May,1997.333333,1.31
6,Jun-97,1997,June,1997.416667,1.53
7,Jul-97,1997,July,1997.5,1.83
8,Aug-97,1997,August,1997.583333,-0.54
9,Sep-97,1997,September,1997.666667,-1.41
10,Oct-97,1997,October,1997.75,-1.45
11,Nov-97,1997,November,1997.833333,0.84
12,Dec-97,1997,December,1997.916667,0.27
13,Jan-98,1998,January,1998,3.28
14,Feb-98,1998,February,1998.083333,3.01
15,Mar-98,1998,March,1998.166667,3.22
16,Apr-98,1998,April,1998.25,-0.01
17,May-98,1998,May,1998.333333,-1.11
18,Jun-98,1998,June,1998.416667,-1.81
19,Jul-98,1998,July,1998.5,-2.53
20,Aug-98,1998,August,1998.583333,-2.88
21,Sep-98,1998,September,1998.666667,2.42
22,Oct-98,1998,October,1998.75,-0.31
23,Nov-98,1998,November,1998.833333,-0.32
24,Dec-98,1998,December,1998.916667,-0.98
25,Jan-99,1999,January,1999,-1.23
26,Feb-99,1999,February,1999.083333,-2.06
27,Mar-99,1999,March,1999.166667,-2.13
28,Apr-99,1999,April,1999.25,-2.97
29,May-99,1999,May,1999.333333,-2.99
30,Jun-99,1999,June,1999.416667,-1.94
31,Jul-99,1999,July,1999.5,-2.1
32,Aug-99,1999,August,1999.583333,-2.76
33,Sep-99,1999,September,1999.666667,-2.81
34,Oct-99,1999,October,1999.75,-1.92
35,Nov-99,1999,November,1999.833333,-2.47
36,Dec-99,1999,December,1999.916667,-2.59
37,Jan-00,2000,January,2000,-2.84
38,Feb-00,2000,February,2000.083333,-3.6
39,Mar-00,2000,March,2000.166667,-3.68
40,Apr-00,2000,April,2000.25,-4.02
41,May-00,2000,May,2000.333333,-4.85
42,Jun-00,2000,June,2000.416667,-4.47
43,Jul-00,2000,July,2000.5,-5.33
44,Aug-00,2000,August,2000.583333,-5.77
45,Sep-00,2000,September,2000.666667,-5.1
46,Oct-00,2000,October,2000.75,-5.05
47,Nov-00,2000,November,2000.833333,-2.99
48,Dec-00,2000,December,2000.916667,-3.08
49,Jan-01,2001,January,2001,-3.01
50,Feb-01,2001,February,2001.083333,-3.51
51,Mar-01,2001,March,2001.166667,-2.43
52,Apr-01,2001,April,2001.25,-3.09
53,May-01,2001,May,2001.333333,-3.85
54,Jun-01,2001,June,2001.416667,2.85
55,Jul-01,2001,July,2001.5,2.66
56,Aug-01,2001,August,2001.583333,2.91
57,Sep-01,2001,September,2001.666667,2.33
58,Oct-01,2001,October,2001.75,2.5
59,Nov-01,2001,November,2001.833333,-0.34
60,Dec-01,2001,December,2001.916667,-0.79
61,Jan-02,2002,January,2002,-0.83
62,Feb-02,2002,February,2002.083333,-1.28
63,Mar-02,2002,March,2002.166667,-1.3
64,Apr-02,2002,April,2002.25,-1.45
65,May-02,2002,May,2002.333333,-2.12
66,Jun-02,2002,June,2002.416667,-1.9
67,Jul-02,2002,July,2002.5,-1.99
68,Aug-02,2002,August,2002.583333,-1.96
69,Sep-02,2002,September,2002.666667,1.59
70,Oct-02,2002,October,2002.75,3.32
71,Nov-02,2002,November,2002.833333,3.22
72,Dec-02,2002,December,2002.916667,3.06
73,Jan-03,2003,January,2003,-0.98
74,Feb-03,2003,February,2003.083333,-1.06
75,Mar-03,2003,March,2003.166667,-1.1
76,Apr-03,2003,April,2003.25,-1.08
77,May-03,2003,May,2003.333333,-1.93
78,Jun-03,2003,June,2003.416666,1.72
79,Jul-03,2003,July,2003.5,2.42
80,Aug-03,2003,August,2003.583333,-0.09
81,Sep-03,2003,September,2003.666666,-0.43
82,Oct-03,2003,October,2003.75,-0.3
83,Nov-03,2003,November,2003.833333,-0.36
84,Dec-03,2003,December,2003.916666,-0.68
85,Jan-04,2004,January,2004,-0.84
86,Feb-04,2004,February,2004.083333,-0.04
87,Mar-04,2004,March,2004.166666,-1.02
88,Apr-04,2004,April,2004.25,0.63
89,May-04,2004,May,2004.333333,1.55
90,Jun-04,2004,June,2004.416666,2.43
91,Jul-04,2004,July,2004.5,-0.24
92,Aug-04,2004,August,2004.583333,-0.77
93,Sep-04,2004,September,2004.666666,-1.52
94,Oct-04,2004,October,2004.75,1.17
95,Nov-04,2004,November,2004.833333,1.21
96,Dec-04,2004,December,2004.916666,-0.15
97,Jan-05,2005,January,2005,-0.71
98,Feb-05,2005,February,2005.083333,0.96
99,Mar-05,2005,March,2005.166666,0.8
100,Apr-05,2005,April,2005.25,0.68
101,May-05,2005,May,2005.333333,0.71
102,Jun-05,2005,June,2005.416666,0.69
103,Jul-05,2005,July,2005.5,1.19
104,Aug-05,2005,August,2005.583333,-0.1
105,Sep-05,2005,September,2005.666666,-0.58
106,Oct-05,2005,October,2005.75,-1.28
107,Nov-05,2005,November,2005.833333,-1.77
108,Dec-05,2005,December,2005.916666,-2.1
109,Jan-06,2006,January,2006,-2.48
110,Feb-06,2006,February,2006.083333,-2.57
111,Mar-06,2006,March,2006.166666,-3.44
112,Apr-06,2006,April,2006.25,-3.39
113,May-06,2006,May,2006.333333,-3.93
114,Jun-06,2006,June,2006.416666,-4.58
115,Jul-06,2006,July,2006.5,-4.41
116,Aug-06,2006,August,2006.583333,-4.35
117,Sep-06,2006,September,2006.666666,-4.32
118,Oct-06,2006,October,2006.75,-3.77
119,Nov-06,2006,November,2006.833333,-3.72
120,Dec-06,2006,December,2006.916666,-2.23
121,Jan-07,2007,January,2007,-1.68
122,Feb-07,2007,February,2007.083333,-2.19
123,Mar-07,2007,March,2007.166666,-2.72
124,Apr-07,2007,April,2007.25,-2.8
125,May-07,2007,May,2007.333333,0.32
126,Jun-07,2007,June,2007.416666,0.34
127,Jul-07,2007,July,2007.5,0.64
128,Aug-07,2007,August,2007.583333,-0.46
129,Sep-07,2007,September,2007.666666,-0.83
130,Oct-07,2007,October,2007.75,1.03
131,Nov-07,2007,November,2007.833333,0.48
132,Dec-07,2007,December,2007.916666,0.48
133,Jan-08,2008,January,2008,0.8
134,Feb-08,2008,February,2008.083333,-0.24
135,Mar-08,2008,March,2008.166666,-0.81
136,Apr-08,2008,April,2008.25,-0.71
137,May-08,2008,May,2008.333333,-0.43
138,Jun-08,2008,June,2008.416666,-0.57
139,Jul-08,2008,July,2008.5,-1.3
140,Aug-08,2008,August,2008.583333,0.84
141,Sep-08,2008,September,2008.666666,1.59
142,Oct-08,2008,October,2008.75,-0.37
143,Nov-08,2008,November,2008.833333,-0.68
144,Dec-08,2008,December,2008.916666,-1.29
145,Jan-09,2009,January,2009,-1.63
146,Feb-09,2009,February,2009.083333,-1.98
147,Mar-09,2009,March,2009.166666,-1.74
148,Apr-09,2009,April,2009.25,-2.09
149,May-09,2009,May,2009.333333,-2.19
150,Jun-09,2009,June,2009.416666,-2.84
151,Jul-09,2009,July,2009.5,-2.94
152,Aug-09,2009,August,2009.583333,-3.12
153,Sep-09,2009,September,2009.666666,0.04
154,Oct-09,2009,October,2009.75,0.94
155,Nov-09,2009,November,2009.833333,0.29
156,Dec-09,2009,December,2009.916666,3.37
157,Jan-10,2010,January,2010,-0.38
158,Feb-10,2010,February,2010.083333,0.47
159,Mar-10,2010,March,2010.166666,-0.39
160,Apr-10,2010,April,2010.25,-1.05
161,May-10,2010,May,2010.333333,-1.07
162,Jun-10,2010,June,2010.416666,-0.98
163,Jul-10,2010,July,2010.5,-1.27
164,Aug-10,2010,August,2010.583333,1.12
165,Sep-10,2010,September,2010.666666,-1.01
166,Oct-10,2010,October,2010.75,-1.54
167,Nov-10,2010,November,2010.833333,-1.44
168,Dec-10,2010,December,2010.916666,-2.02
169,Jan-11,2011,January,2011,-2.07
170,Feb-11,2011,February,2011.083333,-2.53
171,Mar-11,2011,March,2011.166666,-2.33
172,Apr-11,2011,April,2011.25,-3.08
173,May-11,2011,May,2011.333333,-3.96
174,Jun-11,2011,June,2011.416666,-4.46
175,Jul-11,2011,July,2011.499999,-3.04
176,Aug-11,2011,August,2011.583333,-3.9
177,Sep-11,2011,September,2011.666666,-2
178,Oct-11,2011,October,2011.749999,-2.39
179,Nov-11,2011,November,2011.833333,-2.72
180,Dec-11,2011,December,2011.916666,-3.49
181,Jan-12,2012,January,2011.999999,-4.1
182,Feb-12,2012,February,2012.083333,-3.91
183,Mar-12,2012,March,2012.166666,0.17
184,Apr-12,2012,April,2012.249999,0.59
185,May-12,2012,May,2012.333333,-0.54
186,Jun-12,2012,June,2012.416666,0.28
187,Jul-12,2012,July,2012.499999,1.25
188,Aug-12,2012,August,2012.583333,4.03
189,Sep-12,2012,September,2012.666666,3.48
190,Oct-12,2012,October,2012.749999,2.63
191,Nov-12,2012,November,2012.833333,1.96
192,Dec-12,2012,December,2012.916666,1.19
193,Jan-13,2013,January,2012.999999,1.97
194,Feb-13,2013,February,2013.083333,2.29
195,Mar-13,2013,March,2013.166666,1.16
196,Apr-13,2013,April,2013.249999,2.17
197,May-13,2013,May,2013.333333,2.7
198,Jun-13,2013,June,2013.416666,-0.18
199,Jul-13,2013,July,2013.499999,-0.31
200,Aug-13,2013,August,2013.583333,-0.58
201,Sep-13,2013,September,2013.666666,-0.77
202,Oct-13,2013,October,2013.749999,-0.89
203,Nov-13,2013,November,2013.833333,-0.99
204,Dec-13,2013,December,2013.916666,-1.17
205,Jan-14,2014,January,2013.999999,-1.35
206,Feb-14,2014,February,2014.083333,0.35
