Plant,Transect,Point,Height,Mass
1,Ashley2,a,137,10.96
2,Ashley2,a,38.2,1.07
3,Ashley2,b,139,14.03
4,Ashley2,b,21.7,0.61
5,Ashley2,c,20.1,0.73
6,Ashley2,c,125,11.62
7,Ashley2,d,70.8,4.39
8,Ashley2,d,38.6,0.98
9,Ashley2,e,76.8,3.94
10,Ashley2,e,17,0.3
11,Ashley2,g,89.6,6.68
12,Ashley2,g,17.6,0.19
13,NA,NA,186,30.22
14,oldtown1,a,183,27.56
15,oldtown1,e,57,1.62
16,oldtown7,c,83,6.63
17,orange3,a,24,0.77
18,orange3,a,155,21.1
19,orange3,b,8.2,0.257
20,orange3,b,130,15.65
21,orange3,c,17.4,0.86
22,orange3,c,117,11.26
23,orange3,d,52,1.15
24,orange3,d,102.5,9.58
25,orange3,e,45.3,1.21
26,orange3,e,87.6,5.97
27,orange3,f,11,0.352
28,orange3,f,104,9.44
29,Orange5,a,252,45.06
30,Orange5,a,40.5,1.8
31,Orange5,b,36,2.06
32,Orange5,b,110,13.69
33,Orange5,c,31,0.78
34,Orange5,c,93,8.04
35,Orange5,e,112,9.74
36,Orange5,e,12.2,0.282
37,Orange5,h,9,0.201
38,Orange5,h,120,10.86
39,Town,n,71.5,4.92
40,Town1,a,185.5,34.2
41,town1,b,41.5,1.73
42,town1,b,50,2.01
43,town1,c,52,0.99
44,town1,c,60,2.42
45,Town1,d,19,0.373
46,town1,d,36,0.72
47,Town1,e,26.5,0.318
48,Town1,e,53,2.6
49,town1,f,81.5,5.21
50,town1,f,124,11.3
51,town1,g,35,0.94
52,Town1,g,37,0.65
53,town1,g,43,1.32
54,Town1,h,65,3.6
55,Town1,j,22,0.32
56,Town1,j,53.5,3.47
57,Town1,m,39,0.626
58,Town1,m,69,4.17
59,Town1,n,35,0.74
60,town1,o,129,16.14
61,town1,o,166,15.36
62,town1,q,83.5,5.8
63,Town1,q,114,10.41
64,Town1,r,38,0.96
65,Town1,r,103,7.27
66,town1,t,26,0.87
67,town1,t,33,1.3
68,town1,y,182,25.74
69,town1,y,239,44.76
70,town4,na,81,4.66
71,town4,na,104,12.9
