Date,9/22/2021,,,Site,Maryville,,Staff,"M. Hodges, H. Kight-Somers, C. Sergent, K. Swain",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plot,Quadrat ,Year,Stem Count,PlantHt1,PlantHt2,PlantHt3,PlantHt4,PlantHt5,PlantHt6,Biomass1,Biomass2,Biomass3,Biomass4,Biomass5,Biomass6,Biomass_total,Snails,Crab Burrows,Guekensia (Presence/Absence),QA/QC-Yes/No,Northing,Easting,Elevation,Latitude (Global),Longitude (Global),Geoid Height,Ellipsoid Height (Global),GNSS Position Solution.PDOP,GNSS Position Solution.HDOP,GNSS Position Solution.VDOP,GNSS Position Solution.RMS,GNSS Position Solution.H. Precision,GNSS Position Solution.V. Precision,GNSS Position Solution.Satellites,GNSS Position Solution.Epochs,GNSS Position Solution.Antenna Height,GNSS Position Solution.Start Time,GNSS Position Solution.End Time
2020A,1,Planted - 2020,41,90,72,49,60,29,78,6.822,4.5504,2.3079,3.288,0.9599,5.2572,633.7,3,NA,P,Yes,3629182.198,595073.47,0.389,32.79649,-79.9846,-33.075,-32.686,1.4,0.704,1.21,0.002,0.013,0.018,15,20,2,9/22/2021 14:57,9/22/2021 14:57
2020A,10,Planted - 2020,51,128,123,97,50,84,77,13.1072,12.1647,7.8279,2.39,6.0144,5.1359,1585.8,7,8,P,Yes,3629171.316,595064.909,0.428,32.79639,-79.98469,-33.075,-32.646,1.964,0.771,1.807,0.002,0.014,0.022,14,20,2,9/22/2021 16:21,9/22/2021 16:21
2020A,11,Planted - 2020,43,100,55.5,74,64,50.5,61,8.28,2.866575,4.7804,3.6864,2.431575,3.3855,729,3,0,P,Yes,3629170.502,595066.18,0.39,32.79638,-79.98468,-33.075,-32.685,1.425,0.683,1.251,0.003,0.014,0.021,16,20,2,9/22/2021 16:27,9/22/2021 16:28
2020A,12,Planted - 2020,51,97,76,51,90,54,82,7.8279,5.016,2.4735,6.822,2.7324,5.7564,1041.4,5,6,P,Yes,3629169.817,595067.553,0.387,32.79638,-79.98467,-33.075,-32.687,1.449,0.67,1.284,0.003,0.013,0.02,17,20,2,9/22/2021 16:28,9/22/2021 16:28
2020A,2,Planted - 2020,58,120,92,81,111,129,97,11.616,7.1024,5.6295,10.0455,13.2999,7.8279,2146.8,10,7,P,Yes,3629182.937,595072.13,0.437,32.79649,-79.98462,-33.075,-32.638,1.403,0.704,1.214,0.003,0.013,0.018,15,20,2,9/22/2021 15:00,9/22/2021 15:00
2020A,3,Planted - 2020,64,127,92,49,53,40,88,12.9159,7.1024,2.3079,2.6447,1.632,6.5472,1414.4,13,4,P,Yes,3629183.836,595070.856,0.443,32.7965,-79.98463,-33.075,-32.632,1.402,0.703,1.213,0.003,0.013,0.018,15,20,2,9/22/2021 15:05,9/22/2021 15:05
2020A,4,Planted - 2020,72,93,67,65,68,79.5,61,7.2447,3.9999,3.7895,4.1072,5.441775,3.3855,1342.5,7,2,P,Yes,3629185.32,595070.169,0.443,32.79652,-79.98464,-33.075,-32.632,1.4,0.703,1.211,0.003,0.013,0.018,15,20,2,9/22/2021 15:07,9/22/2021 15:07
2020A,5,Planted - 2020,61,128,64,82,103,71,57,13.1072,3.6864,5.7564,8.7447,4.4375,3.0039,1575.3,19,9,P,Yes,3629179.637,595067.491,0.419,32.79646,-79.98467,-33.075,-32.656,1.773,0.785,1.59,0.004,0.021,0.033,13,20,2,9/22/2021 15:52,9/22/2021 15:52
2020A,6,Planted - 2020,68,114,93,74.5,53.5,55,92,10.5564,7.2447,4.838775,2.688375,2.8215,7.1024,1598.1,9,1,P,Yes,3629178.96,595068.592,0.412,32.79646,-79.98465,-33.075,-32.663,1.767,0.785,1.583,0.004,0.021,0.033,13,20,2,9/22/2021 15:53,9/22/2021 15:53
2020A,7,Planted - 2020,67,107,93,68,88,126,90,9.3839,7.2447,4.1072,6.5472,12.726,6.822,2091.8,1,0,P,Yes,3629177.983,595069.834,0.397,32.79645,-79.98464,-33.075,-32.678,2.052,0.836,1.874,0.004,0.016,0.028,12,20,2,9/22/2021 15:56,9/22/2021 15:56
