Year,Optimal_biomass,Treatment,SLR_100,dzdt mm/yr,Standing Bio g/m2,Fractional Ind Time,Susp Org Input mm cm-2 y-1,Depth rel to MHW,Cquest   g C m-2 y-1,totBGB (kg/m2),MSL (cm NAVD) 10 ,SLR mm/y,marshE cm NAVD,Marsh E rel MSL (cm),pedonD,Inorg mm yr-1,Tot Live BG BIO kg/m2,Org Vol Fraction,top level root vol mm/cm2,Root Mort kg m-2 y-1,Sum Org Vol cm3, Sum Mineral (cm3) ,Cum Change Org Vol mm/cm2,Cum Change Min Vol mm/cm2,delta (mm) Marsh Elevation
1,0,None,60 cm 100 y-1,0.81,0,0.22,0,32.89,0,76,4.69,3.48,47.88,43.2,94.86,2.36,0,0.94,0,0,88.8,6.01,0,0.8,4.1
2,0,None,60 cm 100 y-1,0.82,0,0.22,0,33.15,0,76,5.04,3.53,47.96,42.93,94.94,0.82,0,0.94,0,0,88.8,6.09,0,1.6,4.2
3,0,None,60 cm 100 y-1,0.84,0,0.22,0,33.43,0,76,5.39,3.58,48.05,42.66,95.02,0.84,0,0.93,0,0,88.8,6.18,0,2.5,4.2
4,0,None,60 cm 100 y-1,0.85,0,0.22,0,33.71,0,76,5.75,3.64,48.13,42.38,95.11,0.85,0,0.93,0,0,88.8,6.26,0,3.3,4.3
5,0,None,60 cm 100 y-1,0.87,0,0.22,0,33.99,0,76,6.12,3.69,48.22,42.1,95.2,0.87,0,0.93,0,0,88.8,6.35,0,4.2,4.4
6,0,None,60 cm 100 y-1,0.88,0,0.23,0,34.27,0,76,6.49,3.74,48.31,41.82,95.28,0.88,0,0.93,0,0,88.8,6.44,0,5.1,4.5
7,0,None,60 cm 100 y-1,0.9,0,0.23,0,34.56,0,76,6.87,3.79,48.4,41.53,95.37,0.9,0,0.93,0,0,88.8,6.53,0,6,4.6
8,0,None,60 cm 100 y-1,0.91,0,0.23,0,34.85,0,76,7.25,3.85,48.49,41.24,95.46,0.91,0,0.93,0,0,88.8,6.62,0,6.9,4.7
9,0,None,60 cm 100 y-1,0.93,0,0.23,0,35.15,0,76,7.64,3.9,48.58,40.94,95.56,0.93,0,0.93,0,0,88.8,6.71,0,7.8,4.8
10,0,None,60 cm 100 y-1,0.94,0,0.23,0,35.45,0,76,8.03,3.95,48.67,40.65,95.65,0.94,0,0.93,0,0,88.8,6.8,0,8.7,4.9
11,0,None,60 cm 100 y-1,0.96,0,0.24,0,35.75,0,76,8.43,4,48.77,40.34,95.75,0.96,0,0.93,0,0,88.8,6.9,0,9.7,5
12,0,None,60 cm 100 y-1,0.97,0,0.24,0,36.06,0,76,8.83,4.06,48.87,40.04,95.84,0.97,0,0.93,0,0,88.8,7,0,10.7,5.1
13,0,None,60 cm 100 y-1,0.99,0,0.24,0,36.37,0,76,9.24,4.11,48.97,39.73,95.94,0.99,0,0.93,0,0,88.8,7.1,0,11.7,5.2
14,0,None,60 cm 100 y-1,1.01,0,0.24,0,36.68,0,76,9.65,4.16,49.07,39.42,96.04,1.01,0,0.93,0,0,88.8,7.2,0,12.7,5.3
15,0,None,60 cm 100 y-1,1.03,0,0.24,0,37,0,76,10.07,4.21,49.17,39.1,96.15,1.03,0,0.92,0,0,88.8,7.3,0,13.7,5.4
16,0,None,60 cm 100 y-1,1.04,0,0.25,0,37.32,0,76,10.49,4.27,49.27,38.78,96.25,1.04,0,0.92,0,0,88.8,7.4,0,14.7,5.5
17,0,None,60 cm 100 y-1,1.06,0,0.25,0,37.65,0,76,10.92,4.32,49.38,38.46,96.36,1.06,0,0.92,0,0,88.8,7.51,0,15.8,5.6
18,0,None,60 cm 100 y-1,1.08,0,0.25,0,37.98,0,76,11.36,4.37,49.49,38.13,96.47,1.08,0,0.92,0,0,88.8,7.62,0,16.9,5.7
19,0,None,60 cm 100 y-1,1.1,0,0.25,0,38.31,0,76,11.8,4.42,49.6,37.8,96.58,1.1,0,0.92,0,0,88.8,7.73,0,18,5.8
20,0,None,60 cm 100 y-1,1.12,0,0.25,0,38.64,0,76,12.24,4.48,49.71,37.47,96.69,1.12,0,0.92,0,0,88.8,7.84,0,19.1,5.9
21,0,None,60 cm 100 y-1,1.14,0,0.26,0,38.98,0,76,12.69,4.53,49.82,37.13,96.8,1.14,0,0.92,0,0,88.8,7.95,0,20.2,6
22,0,None,60 cm 100 y-1,1.16,0,0.26,0,39.32,0,76,13.15,4.58,49.94,36.79,96.92,1.16,0,0.92,0,0,88.8,8.07,0,21.4,6.1
23,0,None,60 cm 100 y-1,1.18,0,0.26,0,39.67,0,76,13.61,4.63,50.06,36.45,97.04,1.18,0,0.92,0,0,88.8,8.19,0,22.6,6.3
24,0,None,60 cm 100 y-1,1.2,0,0.26,0,40.02,0,76,14.08,4.69,50.18,36.1,97.16,1.2,0,0.91,0,0,88.8,8.31,0,23.8,6.4
25,0,None,60 cm 100 y-1,1.22,0,0.27,0,40.37,0,76,14.55,4.74,50.3,35.75,97.28,1.22,0,0.91,0,0,88.8,8.43,0,25,6.5
26,0,None,60 cm 100 y-1,1.24,0,0.27,0,40.72,0,76,15.02,4.79,50.42,35.4,97.4,1.24,0,0.91,0,0,88.8,8.55,0,26.2,6.6
