Transect,Date,Lat,Lon,GPS_UTM_E,GPS_UTM_N,RTK_name,RTK_N,RTK_E,RTK_elevation,RTK_Lon,RTK_Lat,v.precision,Density_shoots,Height_1,Height_2,Height_3,Height_4,Height_5,Height_6,biomass1,biomass2,biomass3,biomass4,biomass5,biomass6,biomass_total,Crab Burrows,Snails,Mussels,Sed_Eh,Sed_pH,Sed_Temp,Additional_Info
Veg 1,5/27/2021,32.79659,-79.98507,595030,3629193,carrmarsh23,3629191,595032,0.641,-79.98504415,32.79657007,0.039,26,47,53,41,50,69,NA,2.1479,2.6447,1.7015,2.39,4.2159,NA,272.48,NA,NA,NA,NA,NA,NA,
Veg 2,5/27/2021,32.79661,-79.98517,595020,3629195,carrmarsh22,3629194,595022,0.665,-79.98515063,32.79659799,0.04,16,76,61,41,56,66,NA,5.016,3.3855,1.7015,2.912,3.894,NA,216.4352,NA,NA,NA,NA,NA,NA,
Veg 3,5/27/2021,32.79665,-79.98529,595009,3629200,carrmarsh21,3629196,595012,0.579,-79.98525722,32.7966169,0.032,21,47,48,57,42,27,NA,2.1479,2.2272,3.0039,1.7724,0.8559,NA,168.12264,NA,NA,NA,NA,NA,NA,
Veg 4,5/27/2021,32.79668,-79.98537,595001,3629203,carrmarsh20,3629199,595002,0.595,-79.9853637,32.79664482,0.03,23,67,64,48,45,62,NA,3.9999,3.6864,2.2272,1.9935,3.4844,NA,283.20176,NA,NA,NA,NA,NA,NA,
Veg 5,5/27/2021,32.79724,-79.98499,595036,3629265,carrmarsh13,3629262,595037,0.357,-79.98498348,32.79721,0.026,15,100,77,115,95,97,NA,8.28,5.1359,10.7295,7.5335,7.8279,NA,474.0816,NA,NA,NA,NA,NA,NA,1 m from tidal creek
Veg 6,5/27/2021,32.79718,-79.98494,595041,3629259,carrmarsh12,3629254,595042,0.7,-79.98493091,32.79713742,0.021,24,23,31,35,36,37,NA,0.6647,1.0695,1.3055,1.368,1.4319,NA,112.12032,NA,NA,NA,NA,NA,NA,
Veg 7,5/27/2021,32.79707,-79.98492,595043,3629247,carrmarsh11,3629247,595045,0.68,-79.98489959,32.79707402,0.02,10,26,29,27,20,23,NA,0.806,0.9599,0.8559,0.536,0.6647,NA,30.58,NA,NA,NA,NA,NA,NA,
Veg 8,5/27/2021,32.797,-79.98485,595050,3629239,carrmarsh10,3629238,595049,0.713,-79.9848578,32.7969925,0.02,10,28,29,27,22,26,NA,0.9072,0.9599,0.8559,0.6204,0.806,NA,33.1952,NA,NA,NA,NA,NA,NA,
Veg 9,5/27/2021,32.79684,-79.98479,595056,3629221,carrmarsh8,3629219,595057,0.606,-79.98477432,32.79682045,0.02,40,34,38,61,38,31,NA,1.2444,1.4972,3.3855,1.4972,1.0695,NA,278.2016,NA,NA,NA,NA,NA,NA,
Veg 10,5/27/2021,32.79688,-79.98519,595018,3629225,carrmarsh17,3629223,595020,0.66,-79.98516902,32.79685973,0.027,22,89,59,66,78,55,NA,6.6839,3.1919,3.894,5.2572,2.8215,NA,384.5336,NA,NA,NA,NA,NA,NA,3 m from tidal creek
Veg 11,5/28/2021,32.80014,-79.97904,595590,3629592,otcr1,3629572,595592,0.69,-79.97902481,32.79995779,0.016,16,86,96,79,80,100,NA,6.278,7.68,5.3799,5.504,8.28,NA,423.96032,47,24,NA,NA,NA,NA,
Veg 12,5/28/2021,32.79993,-79.97912,595583,3629569,otcr2,3629570,595584,0.751,-79.97911045,32.79994045,0.016,25,11,34,22,31,19,NA,0.2255,1.2444,0.6204,1.0695,0.4959,NA,73.114,26,23,NA,NA,NA,NA,
Veg 13,5/28/2021,32.79993,-79.97914,595581,3629569,otcr3,3629570,595582,0.747,-79.97913181,32.79994062,0.017,27,29,27,30,27,40,NA,0.9599,0.8559,1.014,0.8559,1.632,NA,114.86232,19,47,NA,NA,NA,NA,
Veg 14,5/28/2021,32.79994,-79.97925,595571,3629570,otcr4,3629567,595572,0.761,-79.97923891,32.79991443,0.017,19,37,37,28,27,35,NA,1.4319,1.4319,0.9072,0.8559,1.3055,NA,90.17248,18,24,NA,NA,NA,NA,
Veg 15,5/28/2021,32.79991,-79.97933,595563,3629566,otcr5,3629565,595564,0.751,-79.97932455,32.79989709,0.017,35,23,22,29,32,28,NA,0.6647,0.6204,0.9599,1.1264,0.9072,NA,119.8008,16,46,NA,NA,NA,NA,
Veg 16,5/28/2021,32.80014,-79.97846,595645,3629593,otcl1,3629589,595645,0.506,-79.97845707,32.8001065,0.022,17,130,145,136,121,NA,NA,13.494,16.5735,14.688,11.7975,,NA,961.401,12,3,NA,NA,NA,NA,
Veg 17,5/28/2021,32.80016,-79.97836,595654,3629595,otcl2,3629592,595655,0.497,-79.97834997,32.80013268,0.02,24,82,40,85,87,80,NA,5.7564,1.632,6.1455,6.4119,5.504,NA,488.63616,13,3,NA,NA,NA,NA,
Veg 18,5/28/2021,32.80016,-79.97823,595666,3629595,otcl3,3629594,595664,0.418,-79.97825365,32.80014994,0.019,15,94,77,92,31,65,NA,7.3884,5.1359,7.1024,1.0695,3.7895,NA,293.8284,7,8,NA,NA,NA,NA,
Veg 19,5/28/2021,32.80019,-79.97816,595673,3629599,otcl4,3629596,595674,0.45,-79.97814665,32.80016711,0.019,18,75,49,75,67,74,NA,4.8975,2.3079,4.8975,3.9999,4.7804,NA,300.71808,10,11,NA,NA,NA,NA,
Veg 20,5/28/2021,32.8002,-79.97805,595683,3629600,otcl5,3629597,595684,0.469,-79.97803976,32.80017525,0.023,21,81,74,48,84,75,NA,5.6295,4.7804,2.2272,6.0144,4.8975,NA,395.6232,8,10,NA,NA,NA,NA,
Veg 21,5/28/2021,32.8002,-79.97797,595691,3629600,otcl6,3629599,595694,0.512,-79.97793276,32.80019242,0.027,17,49,66,43,60,42,NA,2.3079,3.894,1.8447,3.288,1.7724,NA,178.2552,5,18,NA,NA,NA,NA,
Veg 22,5/28/2021,32.79833,-79.98479,595054,3629386,cc1c,3629386,595055,0.858,-79.98477856,32.79832683,0.016,16,95,84,93,78,86,NA,7.5335,6.0144,7.2447,5.2572,6.278,NA,413.79584,29,75,NA,NA,NA,NA,
